品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
华为,华为U8652,机身颜色黑色  ,900,CPU型号高通 骁龙Snapdragon MSM7227,高通 骁龙Snapdragon MS RAM容量 512MB ,1400mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,9.0星
华为,华为C8655,机身颜色黑，白色  ,605,CPU型号高通 骁龙Snapdragon MSM7625A,高通 骁龙Snapdragon MS RAM容量 512MB ,1250mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,7.4星
华为,华为C8300,机身颜色铁灰色  ,1140,CPU型号Hisilicon K3,256MB 512MB ,1100mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,8.0星
华为,华为C7266,机身颜色咖啡色  ,1280,空,,1000mAh,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,无评价
华为,华为C2828,机身颜色黑色  ,306,空,,1050mAh,操作系统安卓,nan,无评价
华为,华为T2012,机身颜色白色  ,停产,空,1GB ,空,操作系统安卓,摄像头摄像头总数1像素30万像素传感器类型CMOS,无评价
华为,华为T6300,机身颜色白色  ,1450,空,,空,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,无评价
华为,华为F560,机身颜色白色  ,停产,空,,800mAh,操作系统安卓,nan,6.0星
华为,华为G616（G616-L076/移动4G）,机身颜色白色  ,499,空,512MB 4GB ,2100mAh,操作系统安卓,摄像头像素500万像素传感器类型CMOS,5.2星
华为,华为Ivy,机身颜色黑色  ,停产,CPU型号高通 骁龙Snapdragon MSM7225,,空,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,无评价
华为,华为G309T pro（T8830 Pro/移动版）,机身颜色深咖啡色  ,550,CPU型号联发科 MT6517,512MB 4GB ,1500mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,7.4星
华为,华为C8511,机身颜色黑色  ,停产,空,,1200mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,6.0星
华为,华为T2361,机身颜色白色  ,停产,空,后置摄像头1 256MB ,空,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素传感器类型CMOS,无评价
华为,华为U8330,机身颜色黑色，白色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素300万像素传感器类型CMOS,无评价
华为,华为U8180,机身颜色白色  ,停产,空,256MB 512MB ,1200mAh,操作系统安卓,摄像头摄像头总数1像素320万像素,无评价
华为,华为U8661（Sonic+）,机身颜色黑色，白色  ,460,CPU型号高通 骁龙Snapdragon MSM7225A,高通 骁龙Snapdragon MS RAM容量 512MB ,1250mAh,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,5.1星
华为,华为M860,机身颜色黑色  ,停产,空,,空,操作系统安卓,摄像头摄像头总数1像素320万像素传感器类型CMOS,无评价
华为,华为Ascend P2 Mini,机身颜色黑色  ,停产,CPU型号海思K3V2,1GB和2GB 8GB ,3000mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：130万像素传感器类型CMOS闪光灯LED补光灯,8.5星
华为,华为T202C,机身颜色黑色  ,停产,空,,800mAh,操作系统安卓,nan,无评价
华为,华为C6200,机身颜色黑色  ,642,空,,1100mAh,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,6.0星
华为,华为T565,机身颜色黑色  ,停产,空,,800mAh,操作系统安卓,摄像头摄像头总数1像素30万像素,无评价
华为,华为T710,机身颜色黑色，红色  ,停产,空,,700mAh,操作系统安卓,nan,无评价
华为,华为T209,机身颜色黑色  ,停产,空,,550mAh,操作系统安卓,nan,无评价
华为,华为T2002,机身颜色白色  ,299,空,256MB 1GB ,1000mAh,操作系统安卓,摄像头摄像头总数1像素30万像素传感器类型CMOS,9.0星
华为,华为G7010,机身颜色粉色  ,499,CPU型号MT 6253,,1050mAh,操作系统安卓,摄像头摄像头总数1像素130万像素传感器类型CMOS,3.0星
